epoch,total_loss,recon_loss,kl_loss,pen_acc,beta
1,8.831753,8.799097,0.163284,0.858192,0.200
2,6.181715,6.124785,0.142325,0.902141,0.400
3,5.134850,5.101492,0.055596,0.913124,0.600
4,4.008597,3.970207,0.047988,0.970986,0.800
5,3.166961,3.119502,0.047459,0.980098,1.000
6,2.499816,2.458302,0.041513,0.981427,1.000
7,1.801941,1.763017,0.038924,0.982001,1.000
8,1.378036,1.333110,0.044926,0.982161,1.000
9,0.769789,0.719440,0.050349,0.982030,1.000
10,0.866171,0.808913,0.057258,0.982085,1.000
11,0.611300,0.552571,0.058729,0.981607,1.000
12,0.748344,0.691021,0.057322,0.982498,1.000
13,0.793431,0.742319,0.051112,0.982393,1.000
14,0.809633,0.764902,0.044731,0.982917,1.000
15,0.439774,0.390378,0.049396,0.980704,1.000
16,0.317640,0.257166,0.060474,0.981976,1.000
17,0.361868,0.302181,0.059686,0.983065,1.000
18,0.124134,0.065173,0.058961,0.982355,1.000
19,0.262493,0.199855,0.062638,0.982829,1.000
20,0.215067,0.147909,0.067158,0.982236,1.000
