epoch,total_loss,recon_loss,kl_loss,pen_acc,beta
1,9.026507,8.992001,0.172528,0.908366,0.200
2,5.972707,5.917514,0.137982,0.953937,0.400
3,5.130818,5.106221,0.040996,0.953562,0.600
4,4.372027,4.341471,0.038195,0.953090,0.800
5,3.759295,3.722012,0.037283,0.955608,1.000
6,3.223575,3.188979,0.034596,0.974296,1.000
7,2.767100,2.736222,0.030878,0.981259,1.000
8,2.115432,2.080129,0.035304,0.981730,1.000
9,2.060378,2.024349,0.036028,0.981630,1.000
10,1.560867,1.520767,0.040100,0.981585,1.000
11,1.098855,1.045072,0.053783,0.981870,1.000
12,1.052280,0.977231,0.075048,0.981772,1.000
13,0.837119,0.750518,0.086600,0.981279,1.000
14,0.885220,0.793044,0.092176,0.980513,1.000
15,0.600402,0.508904,0.091498,0.981350,1.000
16,1.117829,1.026345,0.091484,0.981729,1.000
17,1.330393,1.258636,0.071756,0.980821,1.000
18,0.731262,0.667100,0.064162,0.980478,1.000
19,0.533929,0.457458,0.076471,0.980959,1.000
20,0.673367,0.584944,0.088424,0.982063,1.000
