epoch,total_loss,recon_loss,kl_loss,pen_acc,beta
1,8.215615,8.184129,0.157431,0.813417,0.200
2,5.487116,5.413922,0.182985,0.840556,0.400
3,4.759474,4.685002,0.124120,0.946266,0.600
4,4.089645,4.006123,0.104402,0.962441,0.800
5,3.643796,3.569686,0.074110,0.965884,1.000
6,3.117528,3.062702,0.054826,0.968992,1.000
7,2.551556,2.501679,0.049877,0.968822,1.000
8,2.356029,2.309373,0.046657,0.970729,1.000
9,1.804447,1.756164,0.048282,0.971897,1.000
10,1.520466,1.468737,0.051729,0.972474,1.000
11,1.952004,1.906074,0.045930,0.973435,1.000
12,1.574118,1.534362,0.039756,0.972731,1.000
13,1.707549,1.673269,0.034280,0.973659,1.000
14,1.616257,1.582071,0.034186,0.973453,1.000
15,1.479747,1.443904,0.035843,0.974081,1.000
16,0.378201,0.328344,0.049857,0.974437,1.000
17,0.103865,0.040234,0.063631,0.973639,1.000
18,1.200078,1.137590,0.062488,0.974865,1.000
19,1.405846,1.356982,0.048864,0.975490,1.000
20,0.966300,0.927325,0.038975,0.975121,1.000
