epoch,total_loss,recon_loss,kl_loss,pen_acc,beta
1,7.720373,7.664305,0.280340,0.621479,0.200
2,5.841593,5.695114,0.366199,0.617842,0.400
3,5.588140,5.486989,0.168585,0.764597,0.600
4,5.280154,5.243498,0.045820,0.931379,0.800
5,3.859849,3.807226,0.052622,0.950943,1.000
6,4.084142,4.043063,0.041079,0.924194,1.000
7,4.307669,4.277696,0.029973,0.944651,1.000
8,3.293843,3.264774,0.029069,0.897604,1.000
9,2.802491,2.768724,0.033767,0.963482,1.000
10,2.455720,2.415282,0.040438,0.966323,1.000
11,2.633458,2.596364,0.037094,0.967729,1.000
12,2.370901,2.340806,0.030095,0.968979,1.000
13,2.494793,2.464925,0.029868,0.968863,1.000
14,3.385310,3.345746,0.039564,0.965632,1.000
15,1.815644,1.767022,0.048621,0.968881,1.000
16,2.827992,2.771980,0.056012,0.968176,1.000
17,1.782567,1.726515,0.056052,0.963346,1.000
18,1.956113,1.886515,0.069598,0.967555,1.000
19,0.981739,0.906750,0.074989,0.973270,1.000
20,2.564913,2.496567,0.068346,0.973741,1.000
