epoch,total_loss,recon_loss,kl_loss,pen_acc,beta
1,7.022512,6.938181,0.421656,0.863047,0.200
2,8.385742,8.345535,0.100515,0.837786,0.400
3,7.494581,7.476335,0.030410,0.957044,0.600
4,2.100275,2.075731,0.030680,0.962955,0.800
5,0.064038,0.035126,0.028912,0.966389,1.000
6,1.845193,1.817704,0.027489,0.965545,1.000
7,0.239636,0.213595,0.026040,0.968037,1.000
8,0.650518,0.626578,0.023939,0.969266,1.000
9,-1.460421,-1.483216,0.022795,0.969706,1.000
10,-0.010201,-0.031489,0.021288,0.970037,1.000
11,5.066637,5.046634,0.020002,0.963702,1.000
12,0.046118,0.027451,0.018667,0.956142,1.000
13,4.469494,4.451171,0.018324,0.968914,1.000
14,-1.025710,-1.046526,0.020816,0.970456,1.000
15,-1.673773,-1.699518,0.025745,0.972296,1.000
16,-1.728237,-1.759616,0.031379,0.973386,1.000
17,-2.395516,-2.431496,0.035981,0.974305,1.000
18,-2.836855,-2.876567,0.039712,0.974583,1.000
19,-3.080353,-3.121291,0.040938,0.975218,1.000
20,-3.640417,-3.681238,0.040821,0.975292,1.000
