epoch,total_loss,recon_loss,kl_loss,pen_acc,beta
1,8.961544,8.926235,0.176549,0.898111,0.200
2,6.144903,6.081301,0.159005,0.940657,0.400
3,5.206308,5.178634,0.046123,0.940836,0.600
4,4.193765,4.165448,0.035396,0.940578,0.800
5,3.285648,3.251092,0.034556,0.955552,1.000
6,2.513494,2.483591,0.029903,0.979488,1.000
7,2.024478,1.992005,0.032473,0.980024,1.000
8,1.626571,1.588894,0.037677,0.980306,1.000
9,1.095510,1.048233,0.047276,0.980509,1.000
10,0.909759,0.849130,0.060629,0.980215,1.000
11,0.429085,0.360734,0.068351,0.980489,1.000
12,0.625213,0.544504,0.080709,0.979988,1.000
13,0.468494,0.394800,0.073694,0.980633,1.000
14,0.458990,0.391398,0.067592,0.980682,1.000
15,0.284342,0.220902,0.063440,0.980486,1.000
16,0.195086,0.128620,0.066466,0.980365,1.000
17,0.449365,0.375560,0.073804,0.980694,1.000
18,0.484337,0.413587,0.070750,0.980436,1.000
19,0.415059,0.344339,0.070720,0.980752,1.000
20,0.712307,0.636322,0.075986,0.980734,1.000
