epoch,total_loss,recon_loss,kl_loss,pen_acc,beta
1,7.611744,7.583733,0.140056,0.669185,0.200
2,5.083645,5.016492,0.167884,0.728893,0.400
3,4.296112,4.225184,0.118214,0.936614,0.600
4,3.639582,3.564421,0.093951,0.959714,0.800
5,3.526514,3.432496,0.094018,0.960271,1.000
6,2.945656,2.868033,0.077623,0.964037,1.000
7,2.681607,2.607025,0.074583,0.965538,1.000
8,2.406552,2.345921,0.060631,0.966764,1.000
9,2.571251,2.488948,0.082303,0.968437,1.000
10,2.520006,2.442280,0.077726,0.967861,1.000
11,1.979701,1.919570,0.060131,0.970584,1.000
12,2.259898,2.203930,0.055967,0.966114,1.000
13,1.245057,1.197733,0.047323,0.968494,1.000
14,1.092056,1.029273,0.062783,0.970278,1.000
15,0.904169,0.838520,0.065649,0.970272,1.000
16,1.929880,1.879179,0.050701,0.972056,1.000
17,1.247224,1.203053,0.044171,0.973004,1.000
18,1.063123,1.011716,0.051408,0.973682,1.000
19,0.984800,0.933946,0.050854,0.976121,1.000
20,0.612526,0.557549,0.054977,0.974261,1.000
