epoch,total_loss,recon_loss,kl_loss,pen_acc,beta
1,8.969326,8.939319,0.150035,0.814562,0.200
2,6.423895,6.338276,0.214049,0.859978,0.400
3,5.875481,5.825094,0.083979,0.861601,0.600
4,5.540189,5.508692,0.039371,0.860322,0.800
5,5.099629,5.063907,0.035722,0.861803,1.000
6,4.506880,4.471836,0.035044,0.913284,1.000
7,3.749129,3.711386,0.037742,0.955307,1.000
8,3.324449,3.284676,0.039774,0.961510,1.000
9,2.682940,2.651736,0.031204,0.962671,1.000
10,1.963128,1.927509,0.035620,0.963393,1.000
11,1.479272,1.434125,0.045146,0.964474,1.000
12,1.352237,1.303141,0.049096,0.964385,1.000
13,1.208353,1.158699,0.049655,0.965928,1.000
14,1.037590,0.985600,0.051989,0.965484,1.000
15,0.952233,0.893605,0.058628,0.965342,1.000
16,0.628143,0.556948,0.071195,0.965021,1.000
17,0.898042,0.815431,0.082611,0.965438,1.000
18,0.972956,0.891651,0.081305,0.956921,1.000
19,0.646537,0.573856,0.072682,0.967537,1.000
20,0.443808,0.368154,0.075654,0.966384,1.000
