epoch,total_loss,recon_loss,kl_loss,pen_acc,beta
1,7.344917,7.310961,0.169780,0.738791,0.200
2,5.538398,5.428216,0.275457,0.897745,0.400
3,5.354494,5.252819,0.169458,0.836122,0.600
4,3.997943,3.925123,0.091024,0.935177,0.800
5,3.589684,3.473918,0.115766,0.957215,1.000
6,3.553446,3.458564,0.094883,0.960919,1.000
7,2.951939,2.884018,0.067921,0.962710,1.000
8,3.064830,3.009868,0.054962,0.963320,1.000
9,2.595285,2.547673,0.047612,0.965753,1.000
10,1.998138,1.950616,0.047522,0.966888,1.000
11,2.688440,2.637919,0.050521,0.966364,1.000
12,2.458305,2.418192,0.040113,0.967385,1.000
13,2.528382,2.492593,0.035789,0.968843,1.000
14,1.589353,1.547113,0.042241,0.969580,1.000
15,2.751580,2.707306,0.044274,0.969117,1.000
16,1.569181,1.531101,0.038080,0.970728,1.000
17,2.415459,2.365414,0.050046,0.969500,1.000
18,1.945139,1.880765,0.064374,0.971306,1.000
19,2.557948,2.485410,0.072538,0.970644,1.000
20,1.115472,1.047759,0.067713,0.971679,1.000
