epoch,train_loss,val_loss,train_acc,val_acc
1,0.680907,0.340956,0.774714,0.888000
2,0.258228,0.247404,0.920571,0.923333
3,0.167115,0.267584,0.944000,0.916667
4,0.114227,0.169452,0.963000,0.944000
5,0.092561,0.157119,0.971714,0.954000
6,0.065363,0.190762,0.978857,0.951333
7,0.040158,0.166942,0.988000,0.956000
8,0.034729,0.178974,0.988143,0.950667
9,0.034222,0.137097,0.989286,0.959333
10,0.031121,0.145956,0.989429,0.967333
11,0.027307,0.191859,0.992286,0.950667
12,0.016646,0.175857,0.995571,0.960000
13,0.014332,0.236016,0.996000,0.942000
14,0.029519,0.186143,0.990143,0.949333
15,0.024443,0.198172,0.991857,0.954667
16,0.018029,0.246991,0.994000,0.946667
17,0.018432,0.185129,0.995000,0.954667
18,0.010779,0.256768,0.997286,0.937333
19,0.004768,0.176676,0.998571,0.962667
20,0.003271,0.134769,0.999714,0.972000
21,0.001568,0.167456,0.999857,0.970000
22,0.020501,0.264031,0.994000,0.946000
23,0.053907,0.183543,0.982000,0.960667
24,0.025887,0.276266,0.991857,0.940667
25,0.025084,0.158327,0.991429,0.968000
26,0.009022,0.220232,0.996857,0.949333
27,0.008483,0.176193,0.997571,0.970000
28,0.009396,0.150139,0.996429,0.965333
29,0.020526,0.263761,0.993571,0.940667
30,0.029686,0.203130,0.989714,0.952667

Evaluating on test data...
Final Test Accuracy: 0.960 | Macro-F1: 0.959 | Weighted-F1: 0.960
